k,EventType,EventID,rMATS,SUPPA2,ESGq
13,SE,chr3R:7974866-7975053-7975060-7975136,-0.087,-0.0958039131,-0.09753112327520475
13,SE,chr3L:22729094-22732016-22732141-22732580,0.135,nan,nan
13,SE,chr2L:7182900-7183162-7183323-7183502,0.2,nan,nan
13,SE,chr2L:3884519-3886983-3887557-3888648,-0.089,nan,nan
13,SE,chr2R:12576994-12577453-12577654-12579128,0.081,nan,0.04308780928386176
13,SE,chrX:4134904-4135410-4135534-4136568,-0.046,nan,0.015022389137657077
13,SE,chr2R:14603502-14603733-14603926-14603983,0.061,nan,0.0314953251809999
13,SE,chr3L:23227548-23251452-23251580-23262707,nan,0.8490146631,nan
13,SE,chr2R:17523572-17523823-17523899-17524083,0.181,nan,0.0
13,SE,chrX:11689544-11692798-11693178-11693546,-0.126,-0.1406760808,-0.10586734363249062
13,SE,chr2R:12576994-12577453-12577710-12579128,0.158,nan,0.11713399537872968
13,SE,chrX:22458261-22463538-22465523-22466164,0.147,0.2024159608,0.26384762659272465
13,SE,chr3R:26575449-26576356-26576642-26578720,-0.27,nan,-0.30635339789683097
13,SE,chr2R:16754153-16754242-16754270-16755886,-0.288,nan,-0.2758101387996121
13,SE,chr2R:17520929-17521831-17521907-17522852,0.453,nan,0.18195782711911745
13,SE,chr2R:24070243-24070767-24071005-24071990,-0.149,nan,-0.3431716117092151
13,SE,chr2R:14946820-14947178-14947301-14947641,-0.107,nan,-0.1389030707019051
13,SE,chr4:1038435-1043467-1043525-1045155,-0.206,nan,nan
13,SE,chrX:6577113-6577943-6583179-6585692,-0.351,nan,-0.26206349206349205
13,SE,chr2L:13670598-13672138-13672222-13672777,-0.106,nan,nan
13,SE,chr3R:31959128-31969755-31969786-31979522,-0.055,nan,-0.03548534798534797
13,SE,chr2L:10232660-10233480-10233562-10233756,-0.087,-0.0744448437,-0.08043652846761573
13,SE,chr3L:7760657-7760983-7761278-7761562,0.03,nan,0.02640435073590154
13,SE,chr3R:21624086-21624244-21624293-21625164,nan,-0.3827600614,0.013228768090735645
13,SE,chr2L:6920862-6922730-6922827-6923783,0.059,-0.1986990382,0.050045205842433216
13,SE,chr3L:12852278-12852426-12852522-12852615,-0.16,nan,-0.09691046134111791
13,SE,chr3L:2045117-2045195-2046165-2046281,0.215,nan,0.22071114947122772
13,SE,chr3R:31921675-31931774-31932615-31959034,nan,-0.8693998391,nan
13,SE,chr2R:5121653-5121768-5121841-5121982,-0.123,-0.3591597764,-0.27622912674031014
13,SE,chr3R:10003651-10004409-10004443-10004655,-0.136,-0.3157712535,-0.1735301097743488
13,SE,chr3L:5932318-5932405-5932465-5932524,-0.062,-0.1724832485,0.0420583741981867
13,SE,chrX:13276548-13282165-13282230-13285202,nan,0.359810455,nan
13,SE,chr3L:14706879-14736042-14736136-14744188,nan,-0.3886158081,-0.04040404040404033
13,SE,chr2L:17385896-17394429-17394493-17400395,0.198,nan,0.033448523010475406
13,SE,chr3R:14120473-14120610-14120623-14120694,-0.174,-0.1428080337,-0.12511543574005674
13,SE,chr2R:10325895-10326361-10326539-10328857,0.484,nan,0.38888888888888906
13,SE,chr2R:21507723-21510117-21510202-21510866,0.02,nan,0.014341197457940602
13,SE,chr2L:12222338-12240867-12241781-12271590,nan,0.3577030612,-0.8068242875998489
13,SE,chrX:3321218-3325926-3325966-3332441,-0.659,-0.4081604493,-0.6324132008342533
13,SE,chr2L:16185627-16186110-16186152-16187454,-0.371,nan,nan
13,SE,chr2R:7582929-7585055-7585358-7586931,0.039,nan,nan
13,SE,chr3R:6391989-6392879-6392960-6405741,-0.485,nan,nan
13,SE,chrX:13220147-13223825-13223853-13224983,0.405,nan,0.10000000000000003
13,SE,chr3L:1546307-1546598-1546677-1550713,0.015,nan,-0.03695893915747346
13,SE,chr2R:15557935-15558007-15558171-15561814,-0.111,nan,nan
13,SE,chr2L:9127467-9135117-9135385-9154658,-0.153,-0.2414072679,nan
13,SE,chr2R:16327161-16330236-16330399-16333033,-0.033,-0.2503270902,-0.038424013256848175
13,SE,chr3R:26044627-26045003-26045037-26045468,-0.255,-0.216641689,-0.4684684667319533
13,SE,chr3L:2439831-2442438-2442961-2444498,-0.221,nan,nan
13,SE,chr2R:17520929-17521831-17521901-17523499,0.405,nan,nan
13,SE,chr3L:16113366-16113884-16114142-16114311,-0.14,nan,-0.08590405748875696
13,SE,chr2L:19437846-19438008-19438134-19440663,-0.788,nan,nan
13,SE,chrX:20232165-20233422-20233444-20234774,-0.198,-0.2535712635,-0.21777748631968574
13,SE,chrX:9030897-9040037-9040317-9051036,0.504,nan,0.13888888888888884
13,SE,chr3R:15956308-15957590-15957920-15959319,-0.461,nan,nan
13,SE,chr3R:9432840-9441415-9441666-9445043,-0.151,nan,nan
13,SE,chr2R:21167043-21167171-21167445-21167595,nan,-0.1987501056,-0.21024241401950383
13,SE,chr2R:16974125-16979846-16979896-16984265,-0.107,nan,-0.08701667785259119
13,SE,chr2R:15140096-15140470-15140678-15140973,-1.0,-0.9821826811,nan
13,SE,chr2R:14179932-14180421-14180820-14181210,0.293,0.2467052344,0.06524902700671384
13,SE,chrX:16606009-16606861-16607000-16607932,-0.51,-0.5404960132,-0.4324828478841627
13,SE,chr3R:25638034-25646681-25646744-25647498,nan,-0.4121740195,nan
13,SE,chr3L:18090611-18099400-18099487-18105580,-0.192,nan,-0.17791889826610374
13,SE,chr2L:9789616-9789674-9789740-9789790,0.06,nan,0.05531166914271238
13,SE,chr3R:6005127-6005205-6005298-6008036,-0.027,nan,-0.07161713600739597
13,SE,chr2R:23067308-23067631-23067839-23067946,-0.028,nan,nan
13,SE,chr2R:19309584-19309662-19309699-19309815,-0.563,-0.4744993831,-0.634624718682409
13,SE,chr3L:6550870-6551763-6551950-6562321,-0.032,-0.6114820913,-0.1119537739256048
13,SE,chrX:10222587-10222897-10223456-10224313,-0.418,nan,-0.48389657327185825
13,SE,chr3L:20023640-20023952-20023983-20024155,-0.243,nan,-0.23420867328022987
13,SE,chr3L:11291110-11291335-11291369-11293787,0.046,nan,0.23185082844124683
13,SE,chr3R:18011256-18012095-18012151-18013147,0.491,nan,nan
13,SE,chr2R:12951350-12951845-12951879-12952172,0.096,nan,0.06756000313108951
13,SE,chr2L:8226607-8226928-8227151-8227651,-0.348,nan,nan
13,SE,chr3L:1499338-1500244-1500389-1501798,-0.305,nan,nan
13,SE,chr2R:14507350-14507412-14507482-14507539,0.533,-0.8375835319,0.5978354978354978
13,SE,chr2R:17109277-17109942-17110075-17110166,0.185,nan,0.14436014426322075
13,SE,chr3R:29597474-29597775-29597909-29598163,0.262,0.270571447,0.285647134407679
13,SE,chr3R:30386597-30386717-30386829-30387463,-0.07,-0.0368416341,-0.07642783339394582
13,SE,chr2L:12727117-12730842-12731067-12737958,-0.466,nan,nan
13,SE,chr3R:20958168-20962214-20962296-20963724,0.312,nan,nan
13,SE,chr3R:17648096-17651321-17651382-17660646,nan,0.4513339069,-0.013605442176870763
13,SE,chr2R:19174122-19174338-19174366-19174576,0.464,0.2430520124,0.42660168124365133
13,SE,chr3R:25747234-25749026-25749144-25749269,-0.084,-0.1897867827,-0.08102217351191021
13,SE,chr3R:23920847-23921517-23921781-23922895,0.308,0.440007909,0.3777777777777779
13,SE,chr3R:26598713-26601246-26602940-26603559,-0.096,nan,0.001880388951888634
13,SE,chr3L:12851723-12852231-12852278-12852426,-0.101,nan,nan
13,SE,chr3R:8250571-8257376-8257500-8258390,nan,0.7369445713,nan
13,SE,chr3L:3901771-3902526-3902708-3902854,0.268,nan,nan
13,SE,chr3R:30032113-30032673-30032812-30032930,0.283,0.3030247473,0.28068288784582274
13,SE,chr2L:9905084-9905137-9905292-9905874,0.101,nan,nan
13,SE,chrX:9099462-9100512-9100658-9101095,-0.334,nan,nan
13,SE,chr2L:19762832-19763425-19763498-19764069,0.477,0.4904057392,0.5265574686822216
13,SE,chrX:9109757-9110821-9111006-9111081,-0.074,nan,nan
13,SE,chr3L:15810849-15811219-15812898-15813245,-0.189,nan,-0.03772567913005889
13,SE,chrX:12573410-12573724-12573860-12581571,nan,0.481127094,-0.30574074074074076
13,SE,chr3L:12001091-12001726-12001932-12002585,-0.347,nan,-0.22379593564991723
13,SE,chr3R:25747234-25748102-25748226-25749026,-0.118,nan,-0.25628680628680633
13,SE,chr2R:9124146-9124743-9126067-9127418,0.046,nan,nan
13,SE,chr2R:5468444-5474664-5475109-5483842,-0.075,nan,nan
13,SE,chr2R:11228677-11229003-11229034-11229410,-0.084,nan,-0.08402638855136785
13,SE,chr2L:18474583-18474902-18474957-18475153,-0.065,nan,-0.11137977953046445
13,SE,chr3L:21035302-21063990-21064702-21068713,-0.324,nan,nan
13,SE,chr2L:20356802-20356875-20359184-20360012,-0.092,nan,-0.20105880160835585
13,SE,chr3L:9401368-9401656-9401719-9401916,0.271,nan,nan
13,SE,chr2R:21278826-21278982-21279094-21279798,-0.063,nan,0.008345637996800881
13,SE,chr2R:12616942-12617071-12617201-12617455,0.694,nan,0.7176402196811125
13,SE,chr2R:9124146-9125550-9126067-9127026,0.023,nan,nan
13,SE,chr2L:6495105-6495243-6495869-6496056,-0.321,-0.4155552638,-0.35966868800173674
13,SE,chr2R:11587139-11587537-11587583-11587645,nan,0.4245429757,nan
13,SE,chrX:13597405-13598173-13598177-13599415,0.206,0.2608208644,0.03905536087471284
13,SE,chr3L:16115831-16116031-16116620-16117544,0.23,nan,0.10005783689994219
13,SE,chr3L:16902192-16902377-16906751-16906822,-0.547,-0.43009887,-0.39242537109522757
13,SE,chr3R:11816758-11817193-11817339-11818005,0.105,0.1777986722,0.11195428084674675
13,SE,chr3R:31874100-31881747-31881872-31959034,-0.203,nan,nan
13,SE,chrX:21076183-21080046-21080080-21080779,nan,-0.3905045108,-0.27355009057136714
13,SE,chr3R:18769117-18792050-18792121-18795010,0.093,nan,-0.07437934934357326
13,SE,chr2R:15936581-15937678-15937880-15938114,0.506,nan,nan
13,SE,chr3L:8797227-8797689-8797822-8798120,-0.519,-0.4022239232,-0.4867141693872847
13,SE,chr2L:14222082-14229531-14229537-14233647,nan,-0.1625107659,0.06772317772317782
13,SE,chr2R:9916913-9917456-9917532-9917937,0.472,nan,0.3534540232832453
13,SE,chr2R:15936584-15937678-15937880-15938114,0.363,nan,nan
13,SE,chr2R:12200040-12200115-12200242-12200427,0.356,nan,nan
13,SE,chr3R:24159327-24159390-24159405-24159475,-0.161,nan,-0.255952380952381
13,SE,chr2R:13415616-13416574-13416607-13418986,-0.092,nan,nan
13,SE,chr2R:20587745-20589616-20589668-20595556,-0.186,-0.0970503869,-0.11601573177050056
13,SE,chr3R:20541554-20541679-20542093-20552080,0.101,0.2963672643,0.4568891741548995
13,SE,chr2L:10989871-10990095-10990784-10991058,-0.662,-0.2954167573,-0.6515328144836342
13,SE,chr2R:13821558-13821765-13822176-13824283,-0.361,nan,nan
13,SE,chrY:1643013-1652835-1653413-1804023,0.318,nan,nan
13,SE,chr3L:1587123-1588752-1588953-1592743,-0.312,nan,nan
13,SE,chr3R:21008241-21008721-21010151-21011266,0.565,nan,0.5161957401618059
13,SE,chr3R:29173995-29174933-29175429-29176545,-0.178,nan,-0.061538461538461556
13,SE,chrX:7092123-7096814-7096936-7096997,-0.612,nan,nan
13,SE,chr3R:24818850-24819728-24820768-24821096,0.244,0.353390266,0.3759698734004331
13,SE,chr2R:23714900-23722209-23722876-23729048,nan,0.1092437587,0.007743093315822347
13,SE,chr2R:14176692-14177174-14177478-14177860,0.26,-0.3689912091,0.06854256854256846
13,SE,chrX:16288958-16289026-16289159-16289225,-0.066,nan,-0.04869119853792192
13,SE,chr2R:15140096-15140470-15140678-15141836,-0.633,nan,nan
13,SE,chr3L:19993323-19994807-19994952-19995373,-0.347,nan,nan
13,SE,chrX:16288958-16289026-16289114-16289225,-0.121,nan,-0.20792173252279633
13,SE,chr2L:22250854-22253745-22253922-22257652,-0.019,nan,nan
13,SE,chr3R:5296636-5298201-5298490-5299469,nan,-0.1534493871,-0.02614214630262124
13,SE,chr3L:5644852-5645265-5645305-5645674,-0.139,nan,-0.009597071441064475
13,SE,chr3R:13668835-13669016-13669050-13669535,-0.32,nan,-0.40252277981776147
13,SE,chr3R:5177886-5178700-5180832-5181056,-0.038,nan,-0.4233573833573834
13,SE,chr3R:22545471-22545684-22545784-22546711,0.023,nan,nan
13,SE,chr3R:27657956-27658066-27658114-27658468,0.417,0.4008214201,0.4012088858641463
13,SE,chr2R:21205542-21205745-21205815-21206876,-0.176,nan,-0.14407171568024282
13,SE,chr3R:16632769-16635085-16635095-16635545,-0.372,nan,nan
13,SE,chr3R:26969796-26970326-26970345-26970651,nan,-0.4433247034,-0.44518284779328954
13,SE,chr3R:4284407-4288071-4288084-4295119,-0.271,nan,-0.4055555555555556
13,SE,chr3L:3718991-3721536-3721567-3722155,-0.158,nan,-0.11524825028687334
13,SE,chrX:13804422-13805451-13805476-13806531,0.57,nan,0.6589326742552549
13,SE,chr2L:8193230-8194044-8194060-8195020,-0.288,-0.3349957959,-0.29768605378361473
13,SE,chr2R:16085621-16086930-16087726-16088304,0.516,0.3300638503,0.33023889690556346
13,SE,chrX:5743913-5744355-5744700-5747101,nan,0.3143084857,0.0
13,SE,chr2L:4190825-4191774-4191897-4192632,0.068,nan,nan
13,SE,chr3R:20537464-20538452-20538716-20539220,-0.311,nan,-0.32210174851882245
13,SE,chr3R:6005127-6005949-6006103-6008036,-0.012,nan,-0.058283944254282
13,SE,chr3L:12851154-12851308-12851723-12852426,0.116,nan,nan
13,SE,chr2R:18556411-18556723-18556985-18557802,-0.212,nan,-0.1581294225300121
13,SE,chrX:2028751-2029840-2029927-2030214,-0.724,nan,nan
13,SE,chr2R:12449783-12451668-12451713-12451974,0.25,0.3174181696,0.19780309596523327
13,SE,chr3L:7535645-7535883-7536436-7536975,-0.553,-0.5005914072,-0.5755813694407751
13,SE,chr2R:14066575-14067246-14067685-14068844,0.438,nan,0.0
13,SE,chr3L:9633925-9634403-9634434-9634686,0.224,0.355333721,0.22304801760479442
13,SE,chrX:2661094-2669633-2669754-2669912,-0.285,nan,-0.2113712769700565
13,SE,chr3L:1632455-1633708-1633807-1635185,0.116,nan,0.13499109586066116
13,SE,chr3L:2439831-2442438-2442961-2443389,-0.109,-0.2468544411,-0.07804597122280314
13,SE,chrX:11396104-11399741-11399817-11400787,0.402,nan,nan
13,SE,chr3R:25882276-25885118-25885320-25885381,-0.057,nan,-0.09006042728370368
13,SE,chrX:11400833-11402706-11402788-11405273,-0.39,nan,-0.42063488172945684
13,SE,chr3L:12001091-12001726-12001866-12002585,-0.416,nan,-0.2762541153863206
13,SE,chrX:8224048-8224784-8225727-8227870,0.247,nan,0.16666666666666666
13,SE,chrX:17720700-17720947-17720975-17721422,nan,-0.430979614,nan
13,SE,chrX:15083042-15083120-15083157-15083256,-0.068,nan,-0.05634121851511828
13,SE,chr2R:17522961-17523823-17523899-17524083,-0.196,0.4762427855,-0.1719540229885057
13,SE,chr3R:27066885-27067121-27067200-27069143,-0.505,nan,-0.3951499118165784
13,SE,chr2R:21395046-21398064-21398581-21398886,0.178,0.5863622354,0.30952380952380965
13,SE,chr2R:12200242-12200427-12200551-12200774,-0.123,nan,nan
13,SE,chrX:9328595-9330935-9331479-9332453,-0.32,-0.2901168673,-0.391302505429313
13,SE,chr3R:7193689-7195693-7195896-7198327,-0.091,nan,nan
13,SE,chr2R:10151053-10152377-10152423-10152903,-0.071,nan,-0.07676813616977271
13,SE,chr3R:19218765-19218968-19219047-19219188,0.045,nan,nan
13,SE,chr3L:22773717-22774737-22775138-22777110,-0.691,nan,-0.5767482538218078
13,SE,chrX:13625590-13645177-13645805-13649376,-0.207,nan,nan
13,SE,chr3L:4612890-4625209-4625329-4625936,-0.045,nan,nan
13,SE,chr2R:7505500-7505648-7505747-7505838,0.605,0.4678276343,0.5358788080975966
13,SE,chrX:16288137-16288224-16288317-16288382,0.082,nan,nan
13,SE,chr3R:16566002-16569034-16569062-16569139,0.444,nan,0.14357474883790677
13,SE,chr2L:11272292-11272496-11272619-11272684,0.556,nan,0.674074074074074
13,SE,chr2R:23714119-23714680-23714900-23722209,0.029,nan,nan
13,SE,chr4:280240-280324-280538-281723,-0.138,nan,-0.14482963304593655
13,SE,chrX:13596749-13598173-13598177-13599415,nan,-0.2414886873,0.129149690898818
13,SE,chr2R:12608179-12609228-12609637-12610578,0.258,0.256541756,0.3038715581199242
13,SE,chrX:13833023-13834170-13834207-13834814,-0.532,-0.0996916819,-0.6337941739740338
13,SE,chr2L:8428068-8428319-8429463-8430280,-0.432,-0.3006881606,-0.41525656159767366
13,SE,chr3L:4095875-4095971-4096068-4097506,0.086,nan,nan
13,SE,chr3R:21008241-21008721-21008737-21011266,0.558,nan,0.44275796623713903
13,SE,chr3R:17541802-17542414-17542491-17543499,0.106,0.2038730285,0.20006054350244007
13,SE,chr3L:18881252-18882318-18882531-18887060,-0.114,nan,nan
13,SE,chr2L:19528370-19528770-19528997-19529991,-0.225,nan,nan
13,SE,chr3R:12215954-12216632-12216687-12216880,-0.177,nan,-0.4895785617679232
13,SE,chr2L:8369031-8369222-8369400-8369715,-0.113,-0.1186079877,-0.0829811605342851
13,SE,chr2L:19569227-19571571-19571768-19572499,nan,0.3326568899,0.2957870566352357
13,SE,chr2L:4994995-4999224-4999386-5004171,-0.508,nan,nan
13,SE,chr2R:8895645-8895786-8895844-8895953,-0.077,nan,-0.07539682539682539
13,SE,chrX:10798994-10799750-10799925-10821318,0.088,nan,nan
13,SE,chrX:21298935-21299543-21299610-21300150,-0.159,nan,-0.18452027275556693
13,SE,chr2L:119236-119287-119376-119430,-0.069,nan,-0.23931623931623935
13,SE,chr3R:5599365-5600037-5600309-5601014,0.187,nan,nan
13,SE,chr3R:21524650-21525084-21525419-21525526,-0.187,nan,-0.09018849084638558
13,SE,chrX:23030854-23032519-23032601-23032745,nan,0.3223233557,0.11359173978396597
13,SE,chr3R:27568592-27580156-27580326-27581588,-0.516,nan,nan
13,SE,chrX:15072649-15073340-15073392-15073936,-0.111,-0.0713594667,-0.031851299092011565
13,SE,chrX:16004087-16004327-16004445-16005319,nan,-0.4410918541,-0.14177978883861242
13,SE,chr2L:10256507-10257394-10257717-10257777,0.139,nan,0.10755830687992263
13,SE,chr2R:23700591-23700800-23700870-23702110,-0.451,-0.2927845754,-0.45475825306247825
13,SE,chr2R:2495024-2515642-2515909-2565118,-0.151,nan,nan
13,SE,chr3R:30818208-30820886-30821058-30824277,-0.058,nan,-0.010368492591187474
13,SE,chr3L:314318-318990-319514-319746,-0.591,nan,-0.7137122771988935
13,SE,chr3R:26256308-26256473-26256624-26256932,-0.102,-0.1408775131,-0.05670593013096559
13,SE,chr3R:6654665-6654988-6655082-6655208,-0.117,nan,-0.01422459075294985
13,SE,chr3L:4095875-4097205-4097335-4097506,0.018,nan,nan
13,SE,chr2L:7696808-7697006-7697158-7698724,0.352,nan,nan
13,SE,chrX:6577113-6577943-6584023-6585695,-0.386,-0.6051084606,-0.5061216299120603
13,SE,chr2R:15773967-15774427-15775508-15777177,-0.092,0.0983836644,-0.023081267513091308
13,SE,chr2L:14600876-14601131-14601481-14601686,0.374,0.4541699291,0.3358496493001202
13,SE,chr3L:236428-236862-236907-239054,-0.193,nan,-0.20191313441694764
13,SE,chrX:6577113-6577943-6578292-6585695,-0.299,nan,-0.3555898292740398
13,SE,chr2R:21165044-21165558-21165875-21166729,0.334,0.207943744,0.2674462538910034
13,SE,chr3R:4660400-4670796-4670851-4680778,-0.159,nan,nan
13,SE,chr2L:199744-199902-199984-200119,-0.187,nan,-0.2226081553944925
13,SE,chrX:11398823-11399741-11399817-11400787,0.265,0.3048907757,0.18872646499765156
13,SE,chr2L:12477167-12516483-12517186-12536274,-0.056,nan,0.013687264866510146
13,SE,chr2R:16205032-16205319-16205581-16205709,-0.065,nan,-0.08765623272348819
13,SE,chr3L:3257946-3258417-3258656-3266402,0.353,nan,0.2010878010878011
13,SE,chrX:15899456-15900254-15900261-15901543,-0.5,nan,-0.4857280357280358
13,SE,chr2L:10246040-10246184-10246534-10246899,-0.072,nan,-0.11247276688453156
13,SE,chr2L:21278430-21279883-21280448-21281131,-0.092,nan,-0.18684905877024105
13,SE,chr2L:21743972-21746151-21747333-21756553,-0.368,nan,nan
13,SE,chrX:1842884-1843444-1843579-1843691,0.288,nan,0.09487624054216914
13,SE,chr3L:2514198-2514309-2514331-2524598,nan,-0.507527518,-0.336787143854747
13,SE,chr3R:25991846-25992399-25992490-25992807,0.415,nan,0.36703051975837603
13,SE,chr3R:7859438-7861138-7861730-7862918,0.378,nan,0.25
13,SE,chr2R:21021318-21023064-21023166-21023433,-0.111,nan,nan
13,SE,chr3R:19180877-19189350-19190577-19200021,0.085,nan,nan
13,SE,chr2R:13867304-13868155-13868350-13869859,-0.154,nan,nan
13,SE,chr2R:6730115-6730300-6731267-6731439,-0.207,nan,-0.19642145986232007
13,SE,chr2L:19717455-19719702-19720000-19725894,0.541,nan,0.35525210084033626
13,SE,chr3L:20497426-20510029-20510780-20511936,-0.651,nan,-0.6448887929919137
13,SE,chr3R:22131343-22132100-22132245-22132654,0.011,nan,0.009541422361233898
13,SE,chr2L:8218680-8218853-8218872-8219115,-0.106,-0.1113901147,-0.10280343920269798
13,SE,chr2L:21385398-21388281-21388288-21388502,-0.118,nan,-0.10804510965439189
13,SE,chr2R:8601230-8608156-8608256-8608311,nan,-0.6698675302,-0.09615234187723629
13,SE,chr3L:1632455-1633057-1633506-1635185,0.091,nan,0.11481667419065258
13,SE,chr4:694417-695213-695338-695696,0.397,nan,0.2916569155723772
13,SE,chrX:13596749-13597380-13597405-13598173,0.076,0.1463340198,0.02593617147899574
13,SE,chrX:271876-272556-272884-273182,-0.674,nan,nan
13,SE,chr3L:9735290-9735671-9735681-9735970,0.059,nan,nan
13,SE,chr2R:6930371-6933123-6933928-6934065,-0.074,nan,-0.2841269841269841
13,SE,chr3L:9972398-9972880-9973002-9973093,-0.185,nan,-0.17488332658315492
13,SE,chrX:1774223-1775649-1775739-1778611,-0.236,nan,-0.5027777777777778
13,SE,chr2R:16206080-16206171-16206228-16209567,-0.319,nan,nan
13,SE,chrX:18373456-18375248-18375387-18375842,-0.405,-0.2701637555,-0.42116344986205717
13,SE,chrX:2030860-2034954-2035412-2042046,-0.041,nan,nan
13,SE,chr3R:29597474-29597775-29597909-29604509,-0.395,nan,nan
13,SE,chr2L:3361444-3362442-3362719-3362998,-0.132,nan,-0.10919774196980202
13,SE,chr3L:18460070-18460223-18460347-18460868,nan,-0.2197374362,-0.16413693184777534
13,SE,chr2R:23067308-23067946-23068129-23070606,0.053,nan,nan
13,SE,chr2R:17521901-17523499-17523572-17523823,-0.297,nan,nan
13,SE,chr2L:29069-30393-33271-34557,0.124,nan,nan
13,SE,chr2L:19387770-19387861-19387937-19388039,0.122,0.0916472871,0.11147192841097653
13,SE,chr2L:21122390-21122912-21122928-21124134,-0.192,nan,-0.17167919799498743
13,SE,chr2R:18432776-18436596-18436729-18437574,-0.105,-0.1547964598,-0.13256209057878687
13,SE,chr3L:9781219-9781702-9781904-9782608,-0.717,-0.7340689269,-0.5655654249805192
13,SE,chr4:329429-331397-332003-342921,0.242,nan,nan
13,SE,chr3L:16111882-16111997-16112099-16112331,-0.052,nan,0.019491484180634844
13,SE,chr3L:26008178-26010106-26010355-26014020,0.057,nan,nan
13,SE,chrX:13282230-13284891-13284963-13285202,nan,0.4755994674,nan
13,SE,chrX:13701354-13707595-13707715-13718128,nan,0.5676220088,-0.03960661463399695
13,SE,chr2L:13535027-13546910-13547304-13549131,-0.189,nan,nan
13,SE,chr3R:25754486-25758791-25759286-25761241,-0.103,nan,nan
13,SE,chrX:8410690-8418350-8418427-8423183,nan,0.2549020954,-0.05261075136190774
13,SE,chr3R:6392743-6392879-6392960-6393731,-0.233,nan,-0.05975244798774204
13,SE,chr3R:24220344-24220531-24220564-24221114,0.693,nan,0.5899164933916088
13,SE,chr2R:20539814-20539964-20540040-20540220,0.041,0.0918850554,-0.0032335907454656976
13,SE,chr3L:1871918-1872353-1872471-1872581,-0.287,-0.2715370661,-0.24363713893639805
13,SE,chr3L:8635753-8637438-8637599-8638156,-0.064,nan,-0.05314428750722944
13,SE,chr4:732234-733216-733565-733919,nan,0.2568693905,0.2796796677117098
13,SE,chrX:21381064-21381733-21381770-21382179,-0.383,-0.3083026834,-0.33309442225553076
13,SE,chrX:11883622-11884797-11885282-11886955,-0.134,nan,-0.10394830659536541
13,SE,chr3R:21157658-21173838-21175634-21178277,-0.044,nan,nan
13,SE,chr2R:6926822-6927389-6928263-6928508,nan,-0.296651457,0.0
13,SE,chr2R:21205542-21206876-21207513-21208469,0.27,0.3297010307,0.31383932381099133
13,SE,chrX:15834372-15834820-15834913-15835324,0.03,nan,0.09435590328085258
13,SE,chr2L:21615677-21616181-21616574-21617279,-0.026,nan,nan
13,SE,chr3L:8766630-8776996-8777318-8782547,nan,0.4674666388,0.4410208926875594
13,SE,chr3R:6391989-6393731-6393912-6405741,-0.34,nan,nan
13,SE,chr4:1050610-1050693-1050760-1051342,-0.513,-0.2459161473,0.0006960485353708773
